Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres
The Dry,(2020),117 min,6.9,69        ,"23,891",-,R,"
Crime, Drama, Mystery            "
Monster Hunter,(I) (2020),103 min,5.2,47        ,"56,212",-,PG-13,"
Action, Adventure, Fantasy            "
The Woman in the Window,(2021),100 min,5.7,41        ,"72,549",-,R,"
Crime, Drama, Mystery            "
Don't Tell Mom the Babysitter's Dead,(1991),102 min,6.2,35        ,"33,255",$25.20M,PG-13,"
Comedy            "
Chaplin,(1992),143 min,7.5,47        ,"57,462",$9.49M,PG-13,"
Biography, Comedy, Drama            "
Just Like Heaven,(2005),95 min,6.7,47        ,"107,453",$48.32M,PG-13,"
Comedy, Drama, Fantasy            "
Bring It On,(2000),98 min,6.1,52        ,"95,526",$68.38M,PG-13,"
Comedy, Romance, Sport            "
Masters of the Universe,(1987),106 min,5.3,35        ,"40,578",$17.34M,PG,"
Action, Adventure, Fantasy            "
"Love, Simon",(2018),110 min,7.5,72        ,"112,065",$40.83M,PG-13,"
Comedy, Drama, Romance            "
I Know What You Did Last Summer,(1997),101 min,5.8,52        ,"144,316",$72.59M,R,"
Horror, Mystery            "
Burlesque,(I) (2010),119 min,6.4,47        ,"85,191",$39.44M,PG-13,"
Drama, Music, Musical            "
The Lodge,(2019),108 min,6.0,64        ,"45,258",-,R,"
Drama, Horror, Mystery            "
Cars 3,(2017),102 min,6.7,59        ,"94,474",$152.90M,G,"
Animation, Adventure, Comedy            "
Krull,(1983),121 min,6.1,45        ,"33,112",$16.52M,PG,"
Action, Adventure, Fantasy            "
Resident Evil: Apocalypse,(2004),94 min,6.1,35        ,"197,456",$51.20M,R,"
Action, Horror, Sci-Fi            "
Under Siege,(1992),103 min,6.5,58        ,"86,048",$83.36M,R,"
Action, Thriller            "
Master and Commander: The Far Side of the World,(2003),138 min,7.4,81        ,"218,471",$93.93M,PG-13,"
Action, Adventure, Drama            "
Uncle Buck,(1989),100 min,7.0,51        ,"94,451",$66.76M,PG,"
Comedy            "
Inferno,(I) (2016),121 min,6.2,42        ,"173,496",$34.34M,PG-13,"
Action, Adventure, Crime            "
Movie 43,(2013),94 min,4.3,18        ,"105,077",$8.83M,R,"
Comedy            "
The Twilight Saga: Eclipse,(2010),124 min,5.0,58        ,"243,196",$300.53M,PG-13,"
Action, Adventure, Drama            "
Christine,(1983),110 min,6.7,57        ,"81,516",$21.20M,R,"
Horror, Thriller            "
The Getaway,(1972),123 min,7.4,55        ,"32,082",$36.73M,PG,"
Action, Crime, Thriller            "
The Others,(2001),104 min,7.6,74        ,"360,091",$96.52M,PG-13,"
Horror, Mystery, Thriller            "
The Mauritanian,(2021),129 min,7.4,53        ,"49,202",-,R,"
Biography, Drama, Thriller            "
Boss Level,(2020),100 min,6.8,56        ,"63,731",-,TV-MA,"
Action, Mystery, Thriller            "
Logan Lucky,(2017),118 min,7.0,78        ,"147,347",$27.78M,PG-13,"
Action, Comedy, Crime            "
Boyz n the Hood,(1991),112 min,7.8,76        ,"138,370",$57.50M,R,"
Crime, Drama            "
High Plains Drifter,(1973),105 min,7.5,69        ,"55,021",$15.70M,R,"
Drama, Mystery, Western            "
Willy's Wonderland,(2021),88 min,5.5,44        ,"27,162",-,TV-MA,"
Action, Comedy, Horror            "
Can't Buy Me Love,(1987),94 min,6.7,36        ,"37,144",$31.62M,PG-13,"
Comedy, Drama, Romance            "
Fighting with My Family,(2019),108 min,7.1,68        ,"79,883",$22.96M,PG-13,"
Biography, Comedy, Drama            "
Seven Years in Tibet,(1997),136 min,7.1,55        ,"142,315",$37.96M,PG-13,"
Adventure, Biography, Drama            "
The Campaign,(2012),85 min,6.1,50        ,"130,939",$86.91M,R,"
Comedy            "
The Intern,(I) (2015),121 min,7.1,51        ,"247,520",$75.76M,PG-13,"
Comedy, Drama            "
Deja Vu,(2006),126 min,7.1,59        ,"308,383",$64.04M,PG-13,"
Action, Crime, Sci-Fi            "
Shot Caller,(2017),121 min,7.3,59        ,"84,717",-,R,"
Crime, Drama, Thriller            "
The Wolverine,(2013),126 min,6.7,61        ,"458,768",$132.56M,PG-13,"
Action, Sci-Fi            "
The Hand of God,(2021),130 min,7.3,76        ,"39,132",-,R,"
Drama            "
Without Remorse,(II) (2021),109 min,5.7,41        ,"56,112",-,R,"
Action, Thriller, War            "
City Slickers,(1991),113 min,6.8,70        ,"56,156",$124.03M,PG-13,"
Comedy, Western            "
The Purge,(I) (2013),85 min,5.7,41        ,"220,265",$64.47M,R,"
Horror, Sci-Fi, Thriller            "
Cars 2,(2011),106 min,6.2,57        ,"183,025",$191.45M,G,"
Animation, Adventure, Comedy            "
Blade II,(2002),117 min,6.7,52        ,"215,261",$82.35M,R,"
Action, Horror, Sci-Fi            "
Gringo,(2018),111 min,6.1,46        ,"29,875",$4.97M,R,"
Action, Comedy, Crime            "
Tommy Boy,(1995),97 min,7.1,46        ,"86,385",$32.70M,PG-13,"
Adventure, Comedy            "
Tarzan,(1999),88 min,7.3,79        ,"221,703",$171.09M,G,"
Animation, Adventure, Comedy            "
Unbreakable,(2000),106 min,7.3,62        ,"412,032",$95.01M,PG-13,"
Drama, Mystery, Sci-Fi            "
Awakenings,(1990),121 min,7.8,74        ,"138,614",$52.10M,PG-13,"
Biography, Drama            "
Wet Hot American Summer,(2001),97 min,6.5,42        ,"57,563",$0.29M,R,"
Comedy, Romance            "
Super Mario Bros.,(1993),104 min,4.1,35        ,"53,895",$20.92M,PG,"
Adventure, Comedy, Family            "
Annabelle,(I) (2014),99 min,5.4,37        ,"156,186",$84.27M,R,"
Horror, Mystery, Thriller            "
Green Room,(2015),95 min,7.0,79        ,"120,512",$3.22M,R,"
Crime, Drama, Horror            "
Insomnia,(2002),118 min,7.2,78        ,"291,719",$67.36M,R,"
Drama, Mystery, Thriller            "
The A-Team,(2010),117 min,6.7,47        ,"257,296",$77.22M,PG-13,"
Action, Adventure, Thriller            "
Slither,(2006),95 min,6.5,69        ,"81,377",$7.77M,R,"
Comedy, Horror, Sci-Fi            "
Vacation Friends,(2021),103 min,6.3,49        ,"20,908",-,R,"
Adventure, Comedy            "
Second Act,(2018),103 min,5.8,46        ,"27,151",$39.28M,PG-13,"
Comedy, Drama, Romance            "
Hellboy,(2004),122 min,6.8,72        ,"324,474",$59.62M,PG-13,"
Action, Adventure, Fantasy            "
Maze Runner: The Death Cure,(2018),143 min,6.2,50        ,"134,637",$58.03M,PG-13,"
Action, Adventure, Sci-Fi            "
Marrowbone,(2017),110 min,6.6,63        ,"30,594",$0.00M,R,"
Adventure, Drama, Horror            "
Rambo: First Blood Part II,(1985),96 min,6.5,47        ,"166,575",$150.42M,R,"
Action, Adventure, Thriller            "
300: Rise of an Empire,(2014),102 min,6.2,48        ,"298,033",$106.58M,R,"
Action, Drama            "
Hansel & Gretel: Witch Hunters,(2013),88 min,6.1,23        ,"205,022",$55.70M,R,"
Action, Fantasy, Horror            "
The Croods: A New Age,(2020),95 min,6.9,56        ,"41,053",$58.57M,PG,"
Animation, Adventure, Comedy            "
Pokémon: Detective Pikachu,(2019),104 min,6.5,53        ,"158,594",$144.11M,PG,"
Action, Adventure, Comedy            "
Marathon Man,(1976),125 min,7.4,64        ,"63,084",$21.71M,R,"
Crime, Drama, Thriller            "
The Mummy: Tomb of the Dragon Emperor,(2008),112 min,5.2,31        ,"159,393",$102.49M,PG-13,"
Action, Fantasy, Horror            "
The Age of Innocence,(1993),139 min,7.2,90        ,"59,384",$32.20M,PG,"
Drama, Romance            "
Coach Carter,(2005),136 min,7.3,57        ,"144,675",$67.26M,PG-13,"
Biography, Drama, Sport            "
Knowing,(2009),121 min,6.2,41        ,"232,626",$79.96M,PG-13,"
Action, Mystery, Sci-Fi            "
Push,(2009),111 min,6.1,36        ,"110,617",$31.81M,PG-13,"
Action, Sci-Fi, Thriller            "
The Brown Bunny,(2003),93 min,4.9,51        ,"15,474",$0.37M,Not Rated,"
Drama            "
Tomorrowland,(2015),130 min,6.4,60        ,"181,344",$93.44M,PG,"
Action, Adventure, Family            "
The Lake House,(2006),99 min,6.8,52        ,"148,697",$52.33M,PG,"
Drama, Fantasy, Romance            "
Menace II Society,(1993),97 min,7.5,76        ,"57,877",$27.90M,R,"
Crime, Drama, Thriller            "
Treasure Planet,(2002),95 min,7.1,60        ,"115,550",$38.18M,PG,"
Animation, Adventure, Family            "
Zola,(2020),86 min,6.5,76        ,"12,946",-,R,"
Comedy, Crime, Drama            "
Cloverfield,(2008),85 min,7.0,64        ,"393,755",$80.05M,PG-13,"
Action, Horror, Sci-Fi            "
Robin Hood,(2018),116 min,5.3,32        ,"72,693",$30.82M,PG-13,"
Action, Adventure, Drama            "
Chloe,(2009),96 min,6.3,48        ,"73,231",$3.07M,R,"
Drama, Mystery, Romance            "
Red Sonja,(1985),89 min,5.1,35        ,"41,407",$6.95M,PG-13,"
Action, Adventure, Fantasy            "
Bruce Almighty,(2003),101 min,6.7,46        ,"396,780",$242.83M,PG-13,"
Comedy, Fantasy            "
Mid90s,(2018),85 min,7.3,66        ,"62,300",$7.36M,R,"
Comedy, Drama            "
Out of Africa,(1985),161 min,7.1,69        ,"79,102",$87.10M,PG,"
Biography, Drama, Romance            "
"As Above, So Below",(2014),93 min,6.2,39        ,"91,112",$21.20M,R,"
Horror, Mystery, Thriller            "
G.I. Joe: The Rise of Cobra,(2009),118 min,5.7,32        ,"207,870",$152.27M,PG-13,"
Action, Adventure, Sci-Fi            "
Ender's Game,(2013),114 min,6.6,51        ,"238,191",$61.74M,PG-13,"
Action, Adventure, Sci-Fi            "
Ghost in the Shell,(2017),107 min,6.3,52        ,"212,402",$40.56M,PG-13,"
Action, Crime, Drama            "
Delivery Man,(2013),105 min,6.3,44        ,"78,806",$30.66M,PG-13,"
Comedy, Drama            "
Morgan,(2016),92 min,5.8,48        ,"42,807",$3.91M,R,"
Action, Horror, Sci-Fi            "
RocknRolla,(2008),114 min,7.3,53        ,"249,432",$5.69M,R,"
Action, Crime, Thriller            "
To Kill a Mockingbird,(1962),129 min,8.3,88        ,"312,518",-,Approved,"
Crime, Drama            "
Howard the Duck,(1986),110 min,4.7,28        ,"46,921",$16.30M,PG,"
Action, Adventure, Comedy            "
The Florida Project,(2017),111 min,7.6,92        ,"111,572",$5.90M,R,"
Drama            "
Wild Wild West,(1999),106 min,4.9,38        ,"160,388",$113.81M,PG-13,"
Action, Comedy, Sci-Fi            "
The Holiday,(2006),136 min,6.9,52        ,"281,161",$63.22M,PG-13,"
Comedy, Romance            "
The Internship,(2013),119 min,6.3,42        ,"202,767",$44.67M,PG-13,"
Comedy            "
Mike and Dave Need Wedding Dates,(2016),98 min,5.9,51        ,"88,763",$46.01M,R,"
Comedy, Romance            "
Boyhood,(I) (2014),165 min,7.9,100        ,"351,323",$25.38M,R,"
Drama            "
Injustice,(2021),78 min,6.3,-,"11,386",-,R,"
Animation, Action, Adventure            "
10,(1979),122 min,6.1,68        ,"17,844",$74.87M,R,"
Comedy, Romance            "
Sweet Girl,(2021),110 min,5.5,46        ,"30,919",-,R,"
Action, Drama, Thriller            "
Carlito's Way,(1993),144 min,7.9,65        ,"214,938",$36.95M,R,"
Crime, Drama, Thriller            "
A Bronx Tale,(1993),121 min,7.8,80        ,"139,209",$17.27M,R,"
Crime, Drama            "
Martha Marcy May Marlene,(2011),102 min,6.8,75        ,"52,503",$2.98M,R,"
Drama, Mystery, Thriller            "
Kung Fu Panda 3,(2016),95 min,7.1,66        ,"153,914",$143.53M,PG,"
Animation, Action, Adventure            "
Blade: Trinity,(2004),113 min,5.8,38        ,"175,930",$52.41M,R,"
Action, Horror, Sci-Fi            "
Lord of War,(2005),122 min,7.6,62        ,"312,855",$24.15M,R,"
Crime, Drama            "
A Nightmare on Elm Street,(2010),95 min,5.2,35        ,"99,542",$63.08M,R,"
Crime, Drama, Horror            "
The Queen,(2006),103 min,7.3,91        ,"109,806",$56.44M,PG-13,"
Biography, Drama            "
Anaconda,(1997),89 min,4.8,37        ,"103,863",$65.89M,PG-13,"
Action, Adventure, Horror            "
Being the Ricardos,(2021),131 min,6.5,60        ,"39,301",-,R,"
Biography, Drama            "
Jolt,(2021),91 min,5.6,48        ,"29,603",-,R,"
Action, Comedy, Crime            "
Gone Baby Gone,(2007),114 min,7.6,72        ,"269,681",$20.30M,R,"
Crime, Drama, Mystery            "
Rabbit Hole,(2010),91 min,7.0,76        ,"49,334",$2.23M,PG-13,"
Drama            "
The Ghost and the Darkness,(1996),110 min,6.8,-,"61,359",$38.62M,R,"
Adventure, Drama, Thriller            "
Four Brothers,(2005),109 min,6.8,49        ,"145,320",$74.49M,R,"
Action, Crime, Drama            "
Tag,(I) (2018),100 min,6.5,56        ,"130,874",$54.55M,R,"
Action, Comedy            "
The Cat in the Hat,(2003),82 min,4.0,19        ,"82,323",$101.15M,PG,"
Adventure, Comedy, Family            "
"Extremely Wicked, Shockingly Evil and Vile",(2019),110 min,6.7,52        ,"91,806",-,R,"
Biography, Crime, Drama            "
Wild at Heart,(1990),125 min,7.2,52        ,"92,245",$14.56M,R,"
Comedy, Crime, Drama            "
Thir13en Ghosts,(2001),91 min,5.6,30        ,"86,751",$41.87M,R,"
Fantasy, Horror            "
Mr. Nobody,(2009),141 min,7.8,63        ,"230,672",$0.00M,R,"
Drama, Fantasy, Romance            "
Do the Right Thing,(1989),120 min,7.9,93        ,"100,578",$27.55M,R,"
Comedy, Drama            "
G.I. Joe: Retaliation,(2013),110 min,5.7,41        ,"180,880",$122.52M,PG-13,"
Action, Adventure, Sci-Fi            "
Rambo,(2008),92 min,7.0,46        ,"229,470",$42.75M,R,"
Action, Adventure, Thriller            "
Bad Boys,(1995),119 min,6.8,41        ,"260,663",$65.81M,R,"
Action, Comedy, Crime            "
Under the Tuscan Sun,(2003),113 min,6.7,52        ,"52,481",$43.61M,PG-13,"
Comedy, Drama, Romance            "
A Million Ways to Die in the West,(2014),116 min,6.1,44        ,"187,791",$43.14M,R,"
Comedy, Western            "
JFK,(1991),189 min,8.0,72        ,"153,903",$70.41M,R,"
Drama, History, Thriller            "
High Life,(2018),113 min,5.8,77        ,"34,936",$1.23M,R,"
Adventure, Drama, Horror            "
The Disaster Artist,(2017),104 min,7.3,76        ,"151,516",$21.12M,R,"
Biography, Comedy, Drama            "
Die Hard with a Vengeance,(1995),128 min,7.6,58        ,"383,153",$100.01M,R,"
Action, Adventure, Thriller            "
Focus,(II) (2015),105 min,6.6,56        ,"242,973",$53.86M,R,"
Comedy, Crime, Drama            "
Long Shot,(2019),125 min,6.8,67        ,"109,021",$30.32M,R,"
Comedy, Romance            "
Freaky,(2020),102 min,6.3,67        ,"54,588",-,R,"
Comedy, Horror, Thriller            "
The Death of Stalin,(2017),107 min,7.2,88        ,"101,115",$8.04M,R,"
Comedy, Drama, History            "
The Last Full Measure,(2019),116 min,6.8,51        ,"11,456",-,R,"
Drama, War            "
Star Wars: The Clone Wars,(2008),98 min,5.9,35        ,"64,854",$35.16M,PG,"
Animation, Action, Adventure            "
The Strangers,(2008),86 min,6.1,47        ,"129,119",$52.60M,R,"
Horror, Mystery, Thriller            "
Countdown,(III) (2019),90 min,5.4,31        ,"36,735",-,PG-13,"
Horror, Thriller            "
Bull Durham,(1988),108 min,7.0,73        ,"54,009",$50.89M,R,"
Comedy, Romance, Sport            "
Empire of the Sun,(1987),153 min,7.7,62        ,"124,205",$22.24M,PG,"
Drama, History, War            "
Death Becomes Her,(1992),104 min,6.6,56        ,"116,236",$58.42M,PG-13,"
Comedy, Fantasy, Horror            "
Toy Story 2,(1999),92 min,7.9,88        ,"568,001",$245.85M,G,"
Animation, Adventure, Comedy            "
Barb Wire,(1996),98 min,3.4,40        ,"28,830",$3.79M,R,"
Action, Sci-Fi            "
Terminator 3: Rise of the Machines,(2003),109 min,6.3,66        ,"394,993",$150.37M,R,"
Action, Sci-Fi            "
The Cell,(2000),107 min,6.4,40        ,"102,149",$61.33M,R,"
Crime, Horror, Sci-Fi            "
Robin Hood: Men in Tights,(1993),104 min,6.7,44        ,"125,354",$35.74M,PG-13,"
Adventure, Comedy, Musical            "
Gone in 60 Seconds,(2000),118 min,6.5,35        ,"275,789",$101.65M,PG-13,"
Action, Crime, Thriller            "
The World Is Not Enough,(1999),128 min,6.4,57        ,"199,263",$126.94M,PG-13,"
Action, Adventure, Thriller            "
Underwater,(2020),95 min,5.8,48        ,"79,495",-,PG-13,"
Action, Horror, Sci-Fi            "
My Big Fat Greek Wedding,(2002),95 min,6.6,62        ,"130,163",$241.44M,PG,"
Comedy, Drama, Romance            "
The Founder,(2016),115 min,7.2,66        ,"146,687",$12.79M,PG-13,"
Biography, Drama            "
Last Action Hero,(1993),130 min,6.4,44        ,"149,980",$50.02M,PG-13,"
Action, Adventure, Comedy            "
Dennis the Menace,(1993),94 min,5.6,49        ,"60,970",$51.27M,PG,"
Comedy, Family            "
Heartbreakers,(2001),123 min,6.2,47        ,"54,384",$40.34M,PG-13,"
Comedy, Crime, Romance            "
Serpico,(1973),130 min,7.7,81        ,"121,161",$29.80M,R,"
Biography, Crime, Drama            "
Say Anything,(1989),100 min,7.3,85        ,"89,201",$20.78M,PG-13,"
Comedy, Drama, Romance            "
Funny Games,(2007),111 min,6.5,44        ,"96,419",$1.29M,R,"
Crime, Drama, Thriller            "
Vertigo,(1958),128 min,8.3,100        ,"395,499",$3.20M,PG,"
Mystery, Romance, Thriller            "
Arachnophobia,(1990),109 min,6.5,67        ,"69,291",$53.21M,PG-13,"
Comedy, Horror, Thriller            "
A Walk Among the Tombstones,(2014),114 min,6.5,57        ,"120,752",$26.31M,R,"
Action, Crime, Drama            "
Pitch Black,(2000),109 min,7.1,49        ,"237,331",$39.24M,R,"
Action, Horror, Sci-Fi            "
Scream 2,(1997),120 min,6.3,63        ,"179,671",$101.36M,R,"
Horror, Mystery            "
Source Code,(2011),93 min,7.5,74        ,"512,762",$54.71M,PG-13,"
Action, Drama, Mystery            "
Carol,(2015),118 min,7.2,94        ,"127,398",$12.71M,R,"
Drama, Romance            "
Nick of Time,(1995),90 min,6.3,-,"42,326",$8.17M,R,"
Action, Crime, Drama            "
Meet the Parents,(2000),108 min,7.0,73        ,"330,515",$166.24M,PG-13,"
Comedy, Romance            "
Wayne's World,(1992),94 min,7.0,57        ,"155,379",$121.70M,PG-13,"
Comedy, Music            "
Spy,(2015),120 min,7.0,75        ,"242,714",$110.83M,R,"
Action, Comedy            "
American Honey,(2016),163 min,7.0,79        ,"42,476",$0.66M,R,"
Adventure, Drama, Romance            "
Prince of Darkness,(1987),102 min,6.6,50        ,"42,806",$14.18M,R,"
Horror            "
Rocky III,(1982),99 min,6.8,57        ,"187,799",$125.05M,PG,"
Drama, Sport            "
Hackers,(1995),105 min,6.2,46        ,"69,369",$7.56M,PG-13,"
Crime, Drama, Romance            "
Run Hide Fight,(2020),109 min,6.3,13        ,"23,124",-,TV-MA,"
Crime, Drama, Thriller            "
No Escape,(I) (2015),103 min,6.7,38        ,"85,234",$27.29M,R,"
Action, Thriller            "
Riddick,(2013),119 min,6.4,49        ,"164,633",$42.03M,R,"
Action, Adventure, Sci-Fi            "
Chronicle,(2012),84 min,7.0,69        ,"249,904",$64.58M,PG-13,"
Action, Drama, Sci-Fi            "
Can't Hardly Wait,(1998),100 min,6.5,52        ,"49,956",$25.34M,PG-13,"
Comedy, Romance            "
Old School,(2003),88 min,7.0,54        ,"228,100",$75.59M,R,"
Comedy            "
The Andromeda Strain,(1971),131 min,7.2,60        ,"36,944",$3.42M,G,"
Mystery, Sci-Fi, Thriller            "
Short Circuit,(1986),98 min,6.6,50        ,"61,505",$40.70M,PG,"
Comedy, Family, Sci-Fi            "
House of 1000 Corpses,(2003),89 min,6.0,31        ,"84,985",$12.63M,R,"
Horror            "
The Way Way Back,(2013),103 min,7.4,68        ,"148,749",$21.50M,PG-13,"
Comedy, Drama            "
News of the World,(2020),118 min,6.8,73        ,"84,596",-,PG-13,"
Action, Adventure, Drama            "
Lucas,(1986),100 min,6.9,75        ,"16,007",$8.20M,PG-13,"
Comedy, Drama, Romance            "
Ben-Hur,(1959),212 min,8.1,90        ,"236,309",$74.70M,G,"
Adventure, Drama, History            "
Rocky IV,(1985),91 min,6.8,40        ,"201,963",$127.87M,PG,"
Drama, Sport            "
The Natural,(1984),138 min,7.4,61        ,"48,713",$47.95M,PG,"
Drama, Sport            "
The Other Boleyn Girl,(2008),115 min,6.7,50        ,"112,145",$26.81M,PG-13,"
Biography, Drama, History            "
Men in Black: International,(2019),114 min,5.6,38        ,"131,254",$80.00M,PG-13,"
Action, Adventure, Comedy            "
The Raid: Redemption,(2011),101 min,7.6,73        ,"202,456",$4.11M,R,"
Action, Crime, Thriller            "
Hell House LLC,(2015),93 min,6.4,-,"14,605",-,Not Rated,"
Horror, Mystery            "
Planet Terror,(2007),105 min,7.1,-,"209,207",-,R,"
Action, Comedy, Fantasy            "
The Flintstones,(1994),91 min,4.9,38        ,"80,886",$130.51M,PG,"
Comedy, Family, Fantasy            "
Rise of the Planet of the Apes,(2011),105 min,7.6,68        ,"521,203",$176.76M,PG-13,"
Action, Drama, Sci-Fi            "
Takers,(2010),107 min,6.2,45        ,"62,298",$57.74M,PG-13,"
Action, Crime, Thriller            "
The Lego Batman Movie,(2017),104 min,7.3,75        ,"147,395",$175.75M,PG,"
Animation, Action, Adventure            "
Halloween,(I) (2018),106 min,6.5,67        ,"146,130",$159.34M,R,"
Crime, Horror, Thriller            "
Close Encounters of the Third Kind,(1977),138 min,7.6,90        ,"198,781",$132.09M,PG,"
Drama, Sci-Fi            "
"Good Morning, Vietnam",(1987),121 min,7.3,67        ,"138,932",$123.92M,R,"
Biography, Comedy, Drama            "
The Best of Me,(2014),118 min,6.6,29        ,"71,378",$26.76M,PG-13,"
Drama, Romance            "
Die Another Day,(2002),133 min,6.1,56        ,"217,745",$160.94M,PG-13,"
Action, Adventure, Thriller            "
The Little Hours,(2017),90 min,5.8,69        ,"22,603",$1.65M,R,"
Comedy, Romance            "
The Basketball Diaries,(1995),102 min,7.3,46        ,"110,009",$2.42M,R,"
Biography, Crime, Drama            "
Hall Pass,(2011),105 min,5.9,45        ,"125,449",$45.06M,R,"
Comedy, Romance            "
17 Again,(2009),102 min,6.4,48        ,"197,803",$64.17M,PG-13,"
Comedy, Drama, Fantasy            "
Dracula Untold,(2014),92 min,6.2,40        ,"193,030",$56.28M,PG-13,"
Action, Drama, Fantasy            "
Nothing But Trouble,(1991),94 min,5.0,13        ,"24,544",$8.48M,PG-13,"
Comedy            "
Hunter Killer,(2018),121 min,6.6,43        ,"62,347",$15.77M,R,"
Action, Thriller            "
Men in Black II,(2002),88 min,6.1,49        ,"368,354",$190.42M,PG-13,"
Action, Adventure, Comedy            "
Brazil,(1985),132 min,7.9,84        ,"199,009",$9.93M,R,"
Drama, Sci-Fi            "
The Snowman,(2017),119 min,5.1,23        ,"63,001",$6.67M,R,"
Crime, Drama, Thriller            "
"Me, Myself & Irene",(2000),116 min,6.6,49        ,"235,499",$90.57M,R,"
Comedy            "
The Tree of Life,(2011),139 min,6.8,85        ,"175,912",$13.30M,PG-13,"
Drama, Fantasy            "
Annabelle: Creation,(2017),109 min,6.5,62        ,"130,660",$102.09M,R,"
Horror, Mystery, Thriller            "
The Sting,(1973),129 min,8.3,83        ,"258,210",$159.60M,PG,"
Comedy, Crime, Drama            "
The Guest,(I) (2014),100 min,6.7,76        ,"99,425",$0.32M,R,"
Action, Mystery, Thriller            "
Hot Tub Time Machine,(2010),101 min,6.4,63        ,"172,947",$50.29M,R,"
Comedy, Sci-Fi            "
Fatherhood,(I) (2021),109 min,6.6,53        ,"35,957",-,PG-13,"
Comedy, Drama            "
Adrift,(I) (2018),96 min,6.6,56        ,"55,656",$31.45M,PG-13,"
Action, Adventure, Biography            "
9 to 5,(1980),109 min,6.9,58        ,"32,948",$103.29M,PG,"
Comedy            "
The Young Victoria,(2009),105 min,7.2,64        ,"61,694",$11.00M,PG,"
Biography, Drama, History            "
48 Hrs.,(1982),96 min,6.9,71        ,"77,122",$78.87M,R,"
Action, Comedy, Crime            "
End of Watch,(2012),109 min,7.6,68        ,"244,724",$41.00M,R,"
Action, Adventure, Crime            "
Inherent Vice,(2014),148 min,6.6,81        ,"103,459",$8.11M,R,"
Comedy, Crime, Drama            "
My Best Friend's Wedding,(1997),105 min,6.3,50        ,"140,811",$127.12M,PG-13,"
Comedy, Drama, Romance            "
Predators,(2010),107 min,6.4,51        ,"223,620",$52.00M,R,"
Action, Adventure, Sci-Fi            "
Straight Outta Compton,(2015),147 min,7.8,72        ,"197,989",$161.20M,R,"
Biography, Drama, History            "
Halloween,(2007),109 min,6.0,47        ,"119,244",$58.27M,R,"
Horror            "
Click,(2006),107 min,6.4,45        ,"326,163",$137.36M,PG-13,"
Comedy, Drama, Fantasy            "
Transformers: Dark of the Moon,(2011),154 min,6.2,42        ,"403,541",$352.39M,PG-13,"
Action, Adventure, Sci-Fi            "
The Longest Yard,(2005),113 min,6.4,48        ,"176,939",$158.12M,PG-13,"
Comedy, Crime, Sport            "
Savages,(2012),131 min,6.4,59        ,"129,625",$47.38M,R,"
Action, Crime, Drama            "
Odd Thomas,(2013),97 min,6.8,45        ,"52,845",-,PG-13,"
Comedy, Fantasy, Horror            "
Instant Family,(2018),118 min,7.3,57        ,"104,825",$67.36M,PG-13,"
Comedy, Drama            "
Mass,(2021),111 min,7.6,81        ,"12,145",-,PG-13,"
Drama            "
Gosford Park,(2001),137 min,7.2,90        ,"86,917",$41.31M,R,"
Comedy, Drama, Mystery            "
Flowers in the Attic,(1987),93 min,5.7,25        ,"10,201",$15.15M,PG-13,"
Drama, Mystery, Thriller            "
Real Steel,(2011),127 min,7.0,56        ,"322,643",$85.47M,PG-13,"
Action, Drama, Sci-Fi            "
The Bone Collector,(1999),118 min,6.7,45        ,"167,519",$66.52M,R,"
Crime, Drama, Mystery            "
Logan's Run,(1976),119 min,6.8,53        ,"56,168",$25.00M,PG,"
Action, Adventure, Sci-Fi            "
Bloodshot,(2020),109 min,5.7,44        ,"76,292",-,PG-13,"
Action, Adventure, Sci-Fi            "
House of Wax,(2005),113 min,5.4,41        ,"123,231",$32.06M,R,"
Horror, Thriller            "
Prince of Persia: The Sands of Time,(2010),116 min,6.6,50        ,"286,856",$90.76M,PG-13,"
Action, Adventure, Fantasy            "
Spy Kids,(2001),88 min,5.6,71        ,"116,207",$112.72M,PG,"
Action, Adventure, Comedy            "
Beverly Hills Cop II,(1987),100 min,6.5,48        ,"118,385",$153.67M,R,"
Action, Comedy, Crime            "
Mutiny on the Bounty,(1935),132 min,7.7,87        ,"22,877",-,Passed,"
Adventure, Biography, Drama            "
Total Recall,(I) (2012),118 min,6.2,43        ,"252,602",$58.88M,PG-13,"
Action, Adventure, Sci-Fi            "
Stoker,(2013),99 min,6.8,58        ,"108,378",$1.70M,R,"
Drama, Thriller            "
The Fog,(1980),89 min,6.8,55        ,"72,747",$21.38M,R,"
Horror, Thriller            "
Velvet Buzzsaw,(2019),113 min,5.7,61        ,"60,377",-,R,"
Horror, Mystery, Thriller            "
Friday the 13th Part 2,(1981),87 min,6.0,26        ,"67,228",$21.72M,R,"
Horror, Mystery, Thriller            "
Outlaw King,(2018),121 min,6.9,59        ,"70,379",-,R,"
Action, Biography, Drama            "
The Blair Witch Project,(1999),81 min,6.5,81        ,"254,003",$140.54M,R,"
Horror, Mystery            "
White House Down,(2013),131 min,6.3,52        ,"219,495",$73.10M,PG-13,"
Action, Drama, Thriller            "
Escape from New York,(1981),99 min,7.1,76        ,"139,749",$25.24M,R,"
Action, Adventure, Sci-Fi            "
The Karate Kid,(2010),140 min,6.2,61        ,"179,527",$176.59M,PG,"
Action, Drama, Family            "
